spotify_id,community,artist,popularity,followers,genre
3jPN2U65cMPzvozEBue5zp,34,SIDARTA,60,31493.0,greek pop
5xRZqaqEy9SX8GrmtXoSGT,16,G22,33,6659.0,taiwan hip hop
7BGR8y1VZAWK2oR4zD9COr,2,Protoje,58,335321.0,dancehall
23jUmiOyAG9Dzq6Ayp9LUG,35,SPACESPEAKERS,28,125637.0,v-pop
6NwYl6JuXxC9H8T0hkNg6Q,69,Herra Ylppö,33,25030.0,finnish post-punk
7fFoO8E3rLkTJBItdhAwCy,8,Lars-Erik Larsson,16,1838.0,early modern classical
5nWpcynsaMBFgtGmJODhdi,27,Devano,45,532807.0,indonesian pop
3JiKtJqdJ3qUhJRphJk1cT,34,Thodoris Ferris,44,34452.0,greek pop
3qL7BzwJOXq3EzAio36aLX,27,Ghea Indrawari,49,130128.0,indonesian pop
1BjUnGUvkdXUi1ULgcgZvQ,21,Mc Anônimo,38,71245.0,brega funk
04MtOUkmIDC4LAxDDBjrOY,18,Andre Hazes,60,624155.0,dutch pop
2bdcBjvuI9worc472GbeU0,29,Samuel Kim,65,255766.0,anime lo-fi
4eU1y1C4Jxr7eFA56Aivwf,2,Trifecta,8,175.0,Unknown
23fqKkggKUBHNkbKtXEls4,15,Kygo,80,8134874.0,edm
0YUrJpMVgqTxD8UnfPRKEh,7,Fulo El Yeyo,36,17689.0,panamanian pop
5rI6C5mJm6GYXbGHhpHTu9,70,Attaque 77,57,479470.0,argentine punk
6SsTlCsuCYleNza6xGwynu,42,Agnes,56,118389.0,dance pop
6nEgkeR03q2qtKZmrVq100,7,El Villano,45,294637.0,cumbia pop
5UOOgRWguRmVZo1voJuQpf,21,Orgânico,54,196759.0,pop rap brasileiro
7cEaNXXTHx3LokbjUUyHal,26,BIG Naughty,59,175577.0,Unknown
15UyjlO0ZuDaSjXUGytDbI,26,U Sung Eun,36,17395.0,korean pop
1qGohIp3a4kh1Euymx0pyL,15,Ocean Park Standoff,48,27933.0,la pop
1WgXqy2Dd70QQOU7Ay074N,15,AURORA,73,2426951.0,art pop
7AuBGlcUaHok37yr6u963C,37,Ehab Tawfik,42,352880.0,arab pop
7h1amg0X7Q5d0D5KfuyKTg,4,Pyrex,57,29130.0,italian hip hop
08XpoQUQ8CrwDVMo1BOEpj,37,Hala Al Turk,28,41244.0,arab pop
584RKJOLzbEflvpk6qFPS1,21,MC Ysa,32,21592.0,brega funk
0TW5M8RYADmgeCP1q523hf,42,Kjartan Lauritzen,42,22029.0,norwegian indie
3wYcmejLVtOoHIq9szUugh,16,Kaho Hung,53,24853.0,cantopop
4NGKV5T9KOY3eGtJ42fax0,27,Fynn Jamal,32,17459.0,malaysian indie
5qRaZYOswQo7YMPgvdfU2f,162,25 hours,49,275793.0,thai pop
2RxCv6j8Wu2rYbmtOBvg6F,37,Abdul Majeed Abdullah,45,860938.0,classic arab pop
2Wihg8pti3bPnQ4ByrU309,4,Moreno,28,40619.0,Unknown
0cbL6CYnRqpAxf1evwUVQD,70,Die Ärzte,65,871401.0,german alternative rock
7JthQ6zwNzfxRfIEjp6wUs,26,HIRAIDAI,66,1205276.0,j-pop
08ZqXO40nMrhBoGma4kls2,33,SyKo,58,117715.0,glitchcore
5RRPSRJpISAWEPOeSfYuhV,8,Rino Gaetano,55,647105.0,canzone d'autore
5XkrVVn0lQIVPkH55nbTgZ,16,R-chord,45,146283.0,mandopop
